player,position,team,age,birth_year,minutes_90s,tackles,tackles_won,tackles_def_3rd,tackles_mid_3rd,tackles_att_3rd,dribble_tackles,dribbles_vs,dribble_tackles_pct,dribbled_past,blocks,blocked_shots,blocked_passes,interceptions,tackles_interceptions,clearances,errors
Hattan Bahebri,MF,Saudi Arabia,30-144,1992,0.0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
Henry Martín,FW,Mexico,30-019,1992,1.6,1,1,1,0,0,1,2,50.0,1,2,0,2,2,3,1,0
Hernán Galíndez,GK,Ecuador,35-252,1987,3.0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
Hidemasa Morita,MF,Japan,27-211,1995,3.2,0,0,0,0,0,0,0,,0,9,2,7,3,3,4,0
Hiroki Ito,DF,Japan,23-209,1999,0.5,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
Hiroki Sakai,MF,Japan,32-239,1990,1.3,5,4,3,1,1,2,4,50.0,2,2,2,0,1,6,8,0
Hirving Lozano,FW,Mexico,27-130,1995,2.8,7,2,1,5,1,3,4,75.0,1,4,0,4,0,7,1,0
Homam Ahmed,DF,Qatar,23-104,1999,2.9,2,2,2,0,0,1,3,33.3,2,0,0,0,2,4,1,0
Hong Chul,DF,Korea Republic,32-081,1990,0.5,0,0,0,0,0,0,0,,0,2,1,1,1,1,1,0
Hossein Hosseini,GK,IR Iran,30-160,1992,1.8,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
Hossein Kanaanizadegan,DF,IR Iran,28-259,1994,0.5,0,0,0,0,0,0,2,0.0,2,1,1,0,1,1,2,0
Hugo Lloris,GK,France,35-346,1986,3.0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
Hwang Hee-chan,MF,Korea Republic,26-315,1996,1.3,1,1,1,0,0,0,0,,0,0,0,0,0,1,0,0
Hwang In-beom,MF,Korea Republic,26-078,1996,3.7,4,3,0,3,1,3,6,50.0,3,1,0,1,3,7,2,0
Hwang Ui-jo,FW,Korea Republic,30-101,1992,1.2,0,0,0,0,0,0,2,0.0,2,0,0,0,0,0,1,0
Héctor Herrera,MF,Mexico,32-232,1990,1.8,4,3,2,2,0,2,4,50.0,2,1,0,1,3,7,0,0
Héctor Moreno,DF,Mexico,34-324,1988,3.0,2,1,2,0,0,1,1,100.0,0,2,1,1,1,3,4,0
Ibrahima Konaté,DF,France,23-196,1999,2.2,13,6,10,3,0,3,3,100.0,0,1,0,1,2,15,10,0
Idrissa Gana Gueye,MF,Senegal,33-072,1989,3.0,2,1,1,1,0,0,1,0.0,1,3,0,3,5,7,3,0
Iliman Ndiaye,FW,Senegal,22-276,2000,1.5,0,0,0,0,0,0,2,0.0,2,2,0,2,1,1,0,0
Ismail Jakobs,DF,Senegal,23-112,1999,3.1,0,0,0,0,0,0,1,0.0,1,3,0,3,4,4,14,0
Ismail Mohamad,FW,Qatar,32-246,1990,1.9,,2,,,,,,,,,,,2,,,
Ismaila Sarr,FW,Senegal,24-285,1998,3.8,4,2,1,2,1,2,3,66.7,1,2,0,2,2,6,1,0
Ismaël Koné,MF,Canada,20-184,2002,1.2,0,0,0,0,0,0,2,0.0,2,0,0,0,0,0,0,0
Issam Jebali,FW,Tunisia,30-347,1991,2.0,3,3,1,1,1,0,1,0.0,1,1,0,1,0,3,3,0
Ivan Ilić,MF,Serbia,21-265,2001,0.4,0,0,0,0,0,0,0,,0,0,0,0,1,1,0,0
Ivan Perišić,FW,Croatia,33-308,1989,4.1,3,1,2,1,0,2,4,50.0,2,7,1,6,4,7,4,0
Iñaki Williams,FW,Ghana,28-175,1994,3.0,4,2,0,1,3,1,2,50.0,1,3,0,3,0,4,2,0
Jack Grealish,FW,England,27-088,1995,0.9,3,1,2,1,0,0,0,,0,2,0,2,3,6,1,0
Jackson Irvine,MF,Australia,29-275,1993,3.9,4,2,1,3,0,2,4,50.0,2,7,0,7,3,7,8,0
Jackson Porozo,DF,Ecuador,22-125,2000,1.1,2,2,1,1,0,0,0,,0,1,0,1,3,5,4,0
Jakub Kamiński,MF,Poland,20-185,2002,2.6,6,1,3,3,0,3,4,75.0,1,4,1,3,0,6,2,0
Jakub Kiwior,DF,Poland,22-295,2000,3.9,2,1,2,0,0,1,1,100.0,0,4,2,2,4,6,15,2
Jamal Musiala,MF,Germany,19-284,2003,2.9,1,1,0,0,1,1,2,50.0,1,3,1,2,1,2,0,0
Jamie Maclaren,FW,Australia,29-131,1993,0.6,0,0,0,0,0,0,3,0.0,3,0,0,0,1,1,0,0
Jan Bednarek,DF,Poland,26-239,1996,0.1,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
Jan Vertonghen,DF,Belgium,35-227,1987,3.0,0,0,0,0,0,0,1,0.0,1,2,2,0,5,5,12,0
Jason Cummings,FW,Australia,27-128,1995,0.4,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
Jawad El Yamiq,DF,Morocco,30-281,1992,0.7,2,0,2,0,0,2,2,100.0,0,2,2,0,0,2,6,0
Jean-Charles Castelletto,DF,Cameroon,27-315,1995,2.0,3,3,2,1,0,0,1,0.0,1,2,1,1,6,9,12,0
Jeong Woo-yeong,MF,Korea Republic,23-078,1999,0.5,0,0,0,0,0,0,0,,0,0,0,0,0,0,1,0
Jeremy Doku,MF,Belgium,20-194,2002,0.2,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
Jeremy Sarmiento,MF,Ecuador,20-174,2002,0.9,2,1,0,1,1,0,1,0.0,1,0,0,0,1,3,0,0
Jerome Ngom Mbekeli,MF,Cameroon,24-068,1998,0.1,0,0,0,0,0,0,0,,0,0,0,0,0,0,1,0
Jesper Lindstrøm,MF,Denmark,22-281,2000,2.2,1,1,0,1,0,1,3,33.3,2,4,0,4,1,2,1,0
Jesús Ferreira,FW,United States,21-348,2000,0.5,1,0,1,0,0,1,1,100.0,0,0,0,0,0,1,0,0
Jesús Gallardo,DF,Mexico,28-114,1994,3.0,9,5,5,4,0,3,8,37.5,5,5,1,4,1,10,10,0
Jewison Bennette,MF,Costa Rica,18-175,2004,1.1,0,0,0,0,0,0,3,0.0,3,2,0,2,0,0,0,0
Jhegson Méndez,MF,Ecuador,25-225,1997,2.0,2,2,1,1,0,1,1,100.0,0,4,0,4,1,3,1,0
Joachim Andersen,DF,Denmark,26-190,1996,3.0,4,2,2,1,1,0,2,0.0,2,2,1,1,0,4,12,0
Joakim Mæhle,DF,Denmark,25-201,1997,2.8,9,5,4,3,2,5,7,71.4,2,7,3,4,2,11,6,0
Joe Allen,MF,Wales,32-268,1990,1.0,1,1,1,0,0,1,2,50.0,1,1,0,1,1,2,4,0
Joe Morrell,MF,Wales,25-338,1997,0.4,3,2,1,2,0,0,1,0.0,1,2,0,2,1,4,0,0
Joe Rodon,DF,Wales,25-046,1997,3.0,2,2,1,1,0,1,2,50.0,1,2,2,0,4,6,13,0
Joel Campbell,FW,Costa Rica,30-164,1992,3.0,9,5,2,5,2,1,2,50.0,1,3,0,3,0,9,4,0
Johan Venegas,FW,Costa Rica,34-010,1988,0.8,0,0,0,0,0,0,1,0.0,1,0,0,0,0,0,2,0
John Stones,DF,England,28-193,1994,3.8,1,1,1,0,0,1,1,100.0,0,2,2,0,1,2,7,0
Jonas Hofmann,FW,Germany,30-146,1992,0.3,0,0,0,0,0,0,1,0.0,1,2,0,2,0,0,0,0
Jonathan David,FW,Canada,22-327,2000,2.1,1,1,0,1,0,0,0,,0,0,0,0,0,1,0,0
Jonathan Osorio,MF,Canada,30-178,1992,1.3,2,1,0,1,1,2,4,50.0,2,0,0,0,1,3,1,0
Jordan Ayew,FW,Ghana,31-087,1991,1.5,3,3,1,2,0,0,1,0.0,1,0,0,0,1,4,1,0
Jordan Henderson,MF,England,32-173,1990,2.1,4,2,2,2,0,2,2,100.0,0,2,1,1,0,4,0,0
Jordan Morris,FW,United States,28-042,1994,0.0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
Jordan Pickford,GK,England,28-275,1994,4.0,0,0,0,0,0,0,0,,0,0,0,0,0,0,2,0
Jordan Veretout,MF,France,29-281,1993,0.7,2,0,0,2,0,1,1,100.0,0,0,0,0,0,2,2,0
Jordi Alba,DF,Spain,33-261,1989,2.9,6,4,2,4,0,2,5,40.0,3,2,0,2,3,9,2,0
Jorge Eduardo Sánchez,DF,Mexico,24-362,1997,1.9,1,0,1,0,0,1,1,100.0,0,2,0,2,3,4,8,0
Josh Sargent,FW,United States,22-290,2000,1.7,0,0,0,0,0,0,1,0.0,1,1,0,1,1,1,0,0
Joshua Kimmich,MF,Germany,27-302,1995,3.0,5,2,3,2,0,3,6,50.0,3,6,1,5,3,8,1,0
Josip Juranović,DF,Croatia,27-113,1995,4.3,4,3,4,0,0,4,4,100.0,0,4,3,1,2,6,11,0
José Cifuentes,MF,Ecuador,23-270,1999,0.7,2,2,1,1,0,0,2,0.0,2,1,0,1,0,2,1,0
José María Giménez,DF,Uruguay,27-321,1995,3.0,4,1,3,1,0,2,7,28.6,5,6,5,1,7,11,11,0
João Cancelo,DF,Portugal,28-194,1994,3.0,5,3,1,2,2,2,3,66.7,1,1,1,0,2,7,8,0
João Félix,FW,Portugal,23-027,1999,2.7,4,2,2,2,0,0,1,0.0,1,0,0,0,1,5,1,0
João Mário,FW,Portugal,29-322,1993,0.9,2,1,0,1,1,2,3,66.7,1,2,0,2,0,2,0,0
João Palhinha,MF,Portugal,27-151,1995,0.4,2,1,1,1,0,0,1,0.0,1,1,0,1,1,3,1,0
Joško Gvardiol,DF,Croatia,20-318,2002,4.3,5,3,2,3,0,3,4,75.0,1,4,1,3,7,12,25,0
Juan Pablo Vargas,DF,Costa Rica,27-184,1995,1.0,4,3,4,0,0,3,3,100.0,0,0,0,0,2,6,10,0
Jude Bellingham,MF,England,19-161,2003,3.6,11,11,2,6,3,3,4,75.0,1,7,0,7,4,15,0,0
Jules Koundé,DF,France,24-025,1998,2.0,4,3,3,0,1,2,4,50.0,2,1,0,1,2,6,3,0
Julián Álvarez,FW,Argentina,22-310,2000,2.3,2,1,1,0,1,0,0,,0,6,0,6,0,2,3,0
Jung Woo-young,MF,Korea Republic,32-358,1989,3.4,5,4,3,2,0,2,3,66.7,1,3,1,2,3,8,7,0
Junior Hoilett,FW,Canada,32-185,1990,1.8,8,4,1,2,5,3,4,75.0,1,0,0,0,1,9,0,0
Junya Ito,MF,Japan,29-273,1993,3.6,7,4,3,3,1,5,9,55.6,4,4,1,3,5,12,6,0
Jurriën Timber,DF,Netherlands,21-173,2001,3.0,9,5,5,4,0,6,6,100.0,0,1,0,1,7,16,11,0
Kai Havertz,FW,Germany,23-179,1999,1.1,1,1,0,1,0,0,1,0.0,1,0,0,0,1,2,0,0
Kalidou Koulibaly,DF,Senegal,31-170,1991,4.0,12,9,10,2,0,7,11,63.6,4,4,1,3,2,14,30,0
Kalvin Phillips,MF,England,27-005,1995,0.5,0,0,0,0,0,0,0,,0,0,0,0,0,0,1,0
Kamal Miller,DF,Canada,25-205,1997,3.0,6,4,5,1,0,2,3,66.7,1,1,1,0,4,10,11,1
Kamaldeen Sulemana,FW,Ghana,20-295,2002,0.6,0,0,0,0,0,0,0,,0,0,0,0,0,0,2,0
Kamil Glik,DF,Poland,34-307,1988,4.0,2,1,1,1,0,2,3,66.7,1,2,1,1,3,5,23,0
Kamil Grosicki,MF,Poland,34-182,1988,0.0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
Kaoru Mitoma,MF,Japan,25-201,1997,1.8,7,2,6,0,1,3,3,100.0,0,4,1,3,2,9,5,0
Karim Ansarifard,FW,IR Iran,32-248,1990,0.4,0,0,0,0,0,0,0,,0,1,0,1,1,1,0,0
Karim Boudiaf,MF,Qatar,32-082,1990,2.1,2,1,0,2,0,2,5,40.0,3,0,0,0,0,2,3,0
Karl Toko Ekambi,FW,Cameroon,30-084,1992,1.8,1,1,0,1,0,0,1,0.0,1,1,0,1,2,3,0,0
Karol Świderski,FW,Poland,25-318,1997,0.5,4,1,1,1,2,2,3,66.7,1,0,0,0,2,6,0,0
Kasper Dolberg,FW,Denmark,25-062,1997,1.3,1,1,0,1,0,0,1,0.0,1,0,0,0,0,1,1,0
Kasper Schmeichel,GK,Denmark,36-032,1986,3.0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
Keanu Baccus,MF,Australia,24-183,1998,1.3,1,1,1,0,0,0,2,0.0,2,5,0,5,2,3,1,0
Kellyn Acosta,MF,United States,27-136,1995,0.5,3,2,3,0,0,2,2,100.0,0,0,0,0,0,3,0,0
Kendall Waston,DF,Costa Rica,34-340,1988,2.5,7,4,6,1,0,3,4,75.0,1,2,1,1,5,12,14,0
Kenneth Taylor,MF,Netherlands,20-205,2002,0.1,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
Kevin De Bruyne,FW,Belgium,31-162,1991,3.0,1,1,1,0,0,0,2,0.0,2,2,0,2,0,1,3,0
Kevin Rodríguez,FW,Ecuador,22-278,2000,0.0,,0,,,,,,,,,,,0,,,
Kevin Álvarez,DF,Mexico,23-326,1999,0.8,1,0,1,0,0,1,1,100.0,0,2,0,2,1,2,2,0
Keylor Navas,GK,Costa Rica,35-357,1986,3.0,1,0,1,0,0,1,1,100.0,0,0,0,0,1,2,2,1
Keysher Fuller,DF,Costa Rica,28-149,1994,2.8,4,4,3,1,0,3,7,42.9,4,2,0,2,3,7,9,0
Kieffer Moore,FW,Wales,30-121,1992,2.5,1,0,1,0,0,0,0,,0,3,1,2,2,3,7,0
Kieran Trippier,DF,England,32-079,1990,2.3,6,4,4,2,0,5,6,83.3,1,3,1,2,1,7,4,0
Kim Jin-su,DF,Korea Republic,30-177,1992,3.5,10,5,6,2,2,5,6,83.3,1,2,0,2,3,13,5,0
Kim Min-jae,DF,Korea Republic,26-022,1996,3.0,2,1,2,0,0,1,1,100.0,0,5,1,4,2,4,8,0
Kim Moonhwan,DF,Korea Republic,27-128,1995,4.0,9,4,6,2,1,5,6,83.3,1,3,1,2,4,13,16,0
Kim Seung-gyu,GK,Korea Republic,32-068,1990,4.0,0,0,0,0,0,0,0,,0,0,0,0,2,2,2,0
Kim Young-gwon,DF,Korea Republic,32-283,1990,3.9,3,2,3,0,0,1,2,50.0,1,3,2,1,3,6,11,0
Kingsley Coman,FW,France,26-177,1996,1.2,0,0,0,0,0,0,0,,0,1,0,1,2,2,0,0
Ko Itakura,DF,Japan,25-314,1997,3.0,9,5,4,4,1,3,4,75.0,1,1,0,1,4,13,16,0
Koke,MF,Spain,30-333,1992,0.6,1,1,0,1,0,0,0,,0,0,0,0,0,1,0,0
Krystian Bielik,MF,Poland,24-337,1998,2.4,5,3,1,3,1,2,4,50.0,2,1,0,1,5,10,6,0
Krzysztof Piątek,FW,Poland,27-159,1995,0.3,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
Krépin Diatta,FW,Senegal,23-285,1999,2.0,0,0,0,0,0,0,0,,0,1,0,1,0,0,0,0
Kudus Mohammed,FW,Ghana,22-127,2000,2.7,5,4,3,0,2,1,2,50.0,1,4,0,4,1,6,0,0
Kwon Chang-hoon,FW,Korea Republic,28-160,1994,0.6,1,0,0,1,0,1,1,100.0,0,0,0,0,0,1,0,0
Kwon Kyung-won,DF,Korea Republic,30-310,1992,1.0,0,0,0,0,0,0,0,,0,1,1,0,2,2,5,0
Kye Rowles,DF,Australia,24-166,1998,4.0,8,2,5,3,0,4,7,57.1,3,9,7,2,7,15,16,1
Kyle Walker,DF,England,32-193,1990,1.6,2,0,1,1,0,2,3,66.7,1,0,0,0,2,4,2,0
Kylian Mbappé,FW,France,23-352,1998,3.3,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
Lautaro Martínez,FW,Argentina,25-107,1997,2.0,0,0,0,0,0,0,0,,0,0,0,0,1,1,0,0
Lawrence Ati-Zigi,GK,Ghana,26-008,1996,3.0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
Leander Dendoncker,DF,Belgium,27-236,1995,1.8,6,3,4,2,0,4,4,100.0,0,4,3,1,0,6,5,0
Leandro Paredes,MF,Argentina,28-161,1994,1.0,2,1,1,1,0,0,0,,0,0,0,0,2,4,0,0
Leandro Trossard,FW,Belgium,28-003,1994,1.1,1,1,0,1,0,1,1,100.0,0,1,0,1,0,1,0,0
Lee Jae-sung,MF,Korea Republic,30-119,1992,2.3,5,2,1,2,2,1,8,12.5,7,3,0,3,3,8,2,0
Lee Kangin,MF,Korea Republic,21-291,2001,1.6,4,3,1,2,1,2,5,40.0,3,0,0,0,0,4,0,0
Leon Goretzka,MF,Germany,27-304,1995,1.8,5,3,2,3,0,2,2,100.0,0,1,0,1,1,6,0,0
Leroy Sané,FW,Germany,26-330,1996,1.2,1,1,1,0,0,0,4,0.0,4,2,0,2,0,1,1,0
Liam Millar,DF,Canada,23-071,1999,0.1,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
Lionel Messi,FW,Argentina,35-166,1987,4.0,3,2,0,2,1,0,1,0.0,1,1,0,1,0,3,0,0
Lisandro Martínez,DF,Argentina,24-323,1998,1.8,3,0,3,0,0,1,1,100.0,0,2,1,1,1,4,8,0
Lovro Majer,MF,Croatia,24-324,1998,0.4,1,0,0,1,0,1,2,50.0,1,0,0,0,0,1,0,0
Loïs Openda,FW,Belgium,22-294,2000,0.1,1,0,0,1,0,0,0,,0,1,0,1,0,1,0,0
Lucas Cavallini,FW,Canada,29-344,1992,0.2,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
Lucas Hernández,DF,France,26-296,1996,0.1,1,1,0,1,0,1,2,50.0,1,0,0,0,0,1,0,0
Lucas Paquetá,MF,Brazil,25-102,1997,2.3,6,4,5,1,0,2,3,66.7,1,3,0,3,0,6,3,0
Luis Chávez,MF,Mexico,26-326,1996,3.0,1,0,0,1,0,1,4,25.0,3,6,0,6,1,2,3,0
Luis Suárez,FW,Uruguay,35-317,1987,1.6,1,0,0,0,1,0,3,0.0,3,0,0,0,0,1,2,0
Luka Jović,FW,Serbia,24-349,1997,0.4,0,0,0,0,0,0,0,,0,1,0,1,1,1,0,0
Luka Modrić,MF,Croatia,37-089,1985,4.0,9,5,2,7,0,4,8,50.0,4,2,0,2,7,16,0,0
Lukas Klostermann,DF,Germany,26-187,1996,0.7,3,1,0,3,0,2,3,66.7,1,0,0,0,0,3,1,0
Luke Shaw,DF,England,27-148,1995,3.7,2,1,1,0,1,0,0,,0,2,0,2,4,6,3,0
Majid Hosseini,DF,IR Iran,26-170,1996,3.0,7,4,6,1,0,6,9,66.7,3,3,2,1,6,13,11,0
Manuel Akanji,DF,Switzerland,27-141,1995,4.0,4,2,2,0,2,3,4,75.0,1,4,3,1,3,7,12,0
Manuel Neuer,GK,Germany,36-255,1986,3.0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,2
Marcelo Brozović,MF,Croatia,30-021,1992,4.3,8,3,7,0,1,1,7,14.3,6,9,5,4,0,8,5,0
Marco Asensio,FW,Spain,26-320,1996,2.5,1,1,0,0,1,0,0,,0,1,0,1,0,1,0,0
Marcos Acuña,DF,Argentina,31-040,1991,2.7,7,3,7,0,0,4,4,100.0,0,5,1,4,1,8,8,0
Marcos Llorente,DF,Spain,27-311,1995,1.3,0,0,0,0,0,0,4,0.0,4,0,0,0,0,0,0,0
Marcus Rashford,FW,England,25-037,1997,1.5,1,0,0,0,1,1,2,50.0,1,2,0,2,1,2,0,0
Marcus Thuram,FW,France,25-123,1997,0.5,0,0,0,0,0,0,0,,0,1,0,1,0,0,0,0
Mario Götze,MF,Germany,30-187,1992,0.4,1,0,1,0,0,1,1,100.0,0,2,0,2,0,1,0,0
Mario Pašalić,FW,Croatia,27-301,1995,1.4,2,2,0,1,1,1,2,50.0,1,4,2,2,1,3,1,0
Mark-Anthony Kaye,MF,Canada,28-005,1994,0.7,2,1,1,1,0,2,3,66.7,1,0,0,0,0,2,0,0
Marko Grujić,MF,Serbia,26-238,1996,0.1,1,1,1,0,0,1,2,50.0,1,0,0,0,0,1,1,0
Marko Livaja,FW,Croatia,29-103,1993,1.7,1,1,0,0,1,0,2,0.0,2,1,0,1,0,1,1,0
Marquinhos,DF,Brazil,28-207,1994,3.4,5,4,3,2,0,4,5,80.0,1,5,1,4,1,6,4,0
Marten de Roon,MF,Netherlands,31-253,1991,1.5,6,4,2,3,1,1,4,25.0,3,4,0,4,2,8,4,0
Martin Braithwaite,FW,Denmark,31-185,1991,1.1,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
Martin Hongla,MF,Cameroon,24-266,1998,1.3,0,0,0,0,0,0,0,,0,2,1,1,2,2,3,0
Martinelli,FW,Brazil,21-172,2001,1.3,2,1,1,1,0,1,2,50.0,1,2,0,2,0,2,1,0
Martín Cáceres,DF,Uruguay,35-244,1987,1.0,0,0,0,0,0,0,2,0.0,2,0,0,0,0,0,2,0
Mason Mount,MF,England,23-331,1999,1.9,2,2,1,0,1,0,0,,0,2,0,2,0,2,0,0
Mateo Kovačić,MF,Croatia,28-215,1994,3.9,11,9,4,6,1,2,7,28.6,5,2,1,1,3,14,3,0
Matheus Nunes,MF,Portugal,24-102,1998,0.8,0,0,0,0,0,0,0,,0,1,0,1,0,0,0,0
Mathew Leckie,MF,Australia,31-306,1991,3.7,4,4,1,3,0,2,5,40.0,3,5,0,5,1,5,6,0
Mathew Ryan,GK,Australia,30-243,1992,4.0,0,0,0,0,0,0,0,,0,0,0,0,0,0,6,1
Mathias Jensen,MF,Denmark,26-340,1996,0.9,1,0,0,1,0,1,1,100.0,0,2,0,2,0,1,0,0
Mathías Olivera,DF,Uruguay,25-037,1997,2.8,9,5,7,2,0,4,7,57.1,3,9,0,9,2,11,10,0
Matt Turner,GK,United States,28-166,1994,4.0,0,0,0,0,0,0,0,,0,0,0,0,0,0,1,0
Matthias Ginter,DF,Germany,28-322,1994,0.0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
Matthijs de Ligt,DF,Netherlands,23-117,1999,1.0,0,0,0,0,0,0,0,,0,0,0,0,0,0,4,0
Matty Cash,DF,Poland,25-122,1997,4.0,4,3,3,1,0,3,6,50.0,3,7,2,5,0,4,17,0
Mattéo Guendouzi,FW,France,23-237,1999,0.9,1,1,0,1,0,0,1,0.0,1,0,0,0,0,1,0,0
Matías Vecino,MF,Uruguay,31-105,1991,2.2,4,3,1,2,1,1,3,33.3,2,6,2,4,4,8,1,0
Matías Viña,DF,Uruguay,25-028,1997,0.2,4,3,4,0,0,2,2,100.0,0,0,0,0,0,4,0,0
Maxi Gómez,FW,Uruguay,26-115,1996,0.3,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
Maya Yoshida,DF,Japan,34-105,1988,4.3,4,4,0,4,0,1,1,100.0,0,6,3,3,3,7,24,0
Mehdi Taremi,FW,IR Iran,30-142,1992,3.0,4,3,2,2,0,2,5,40.0,3,5,1,4,2,6,3,0
Mehdi Torabi,MF,IR Iran,28-088,1994,0.7,1,0,1,0,0,1,3,33.3,2,1,0,1,2,3,0,0
Memphis,FW,Netherlands,28-297,1994,2.4,1,1,0,1,0,1,1,100.0,0,4,0,4,0,1,0,1
Meshaal Barsham,GK,Qatar,24-296,1998,2.0,0,0,0,0,0,0,0,,0,0,0,0,0,0,1,1
Michael Estrada,FW,Ecuador,26-244,1996,2.5,1,0,0,1,0,0,1,0.0,1,4,1,3,0,1,0,0
Michał Skóraś,MF,Poland,22-295,2000,0.5,0,0,0,0,0,0,0,,0,1,0,1,1,1,0,0
Michel Aebischer,MF,Switzerland,25-335,1997,0.2,0,0,0,0,0,0,1,0.0,1,0,0,0,0,0,0,0
Michy Batshuayi,FW,Belgium,29-066,1993,1.7,1,0,0,1,0,1,1,100.0,0,1,0,1,0,1,0,0
Miki Yamane,DF,Japan,28-350,1993,0.7,1,0,0,1,0,0,0,,0,2,0,2,2,3,0,0
Mikkel Damsgaard,MF,Denmark,22-157,2000,1.7,4,2,2,2,0,0,4,0.0,4,2,0,2,2,6,1,0
Milad Mohammadi,DF,IR Iran,29-069,1993,2.2,10,3,7,3,0,3,4,75.0,1,2,0,2,1,11,6,0
Milan Borjan,GK,Canada,35-045,1987,3.0,0,0,0,0,0,0,0,,0,0,0,0,0,0,2,1
Miloš Degenek,DF,Australia,28-223,1994,2.0,6,4,6,0,0,5,6,83.3,1,2,1,1,1,7,9,0
Miloš Veljković,DF,Serbia,27-072,1995,2.5,4,1,4,0,0,2,2,100.0,0,2,2,0,0,4,7,0
Mislav Oršić,FW,Croatia,29-343,1992,0.2,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
Mitchell Duke,FW,Australia,31-323,1991,3.0,0,0,0,0,0,0,0,,0,5,0,5,2,2,1,0
Mohamed Ali Ben Romdhane,MF,Tunisia,23-092,1999,0.8,5,4,1,4,0,3,3,100.0,0,1,0,1,0,5,0,0
Mohamed Dräger,DF,Tunisia,26-165,1996,1.5,5,3,3,2,0,4,4,100.0,0,0,0,0,1,6,4,0
Mohamed Kanno,MF,Saudi Arabia,28-076,1994,3.0,6,2,5,1,0,1,2,50.0,1,3,1,2,2,8,7,0
Mohammed Al-Breik,DF,Saudi Arabia,30-083,1992,0.7,1,0,1,0,0,0,0,,0,2,0,2,1,2,4,0
Mohammed Al-Owais,GK,Saudi Arabia,31-058,1991,3.0,0,0,0,0,0,0,1,0.0,1,0,0,0,0,0,4,0
Mohammed Muntari,FW,Qatar,28-352,1993,0.7,2,2,1,1,0,1,1,100.0,0,0,0,0,0,2,2,0
Mohammed Salisu,DF,Ghana,23-234,1999,3.0,2,1,2,0,0,1,1,100.0,0,5,4,1,3,5,17,0
Mohammed Waad,MF,Qatar,23-080,1999,0.3,0,0,0,0,0,0,0,,0,1,0,1,1,1,1,0
Moisés Caicedo,MF,Ecuador,21-035,2001,3.0,6,5,2,4,0,0,3,0.0,3,4,0,4,2,8,2,1
Montassar Talbi,DF,Tunisia,24-195,1998,3.0,2,2,1,1,0,0,0,,0,7,1,6,2,4,18,0
Morteza Pouraliganji,DF,IR Iran,30-232,1992,3.0,2,2,0,1,1,1,2,50.0,1,5,3,2,6,8,10,0
Moumi Ngamaleu,FW,Cameroon,28-151,1994,1.1,3,1,2,1,0,1,1,100.0,0,0,0,0,0,3,0,0
Munir,GK,Morocco,33-211,1989,1.0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
Musab Kheder,DF,Qatar,29-072,1993,0.1,1,1,1,0,0,0,0,,0,0,0,0,0,1,0,0
Na Sang-ho,FW,Korea Republic,26-117,1996,1.3,4,1,0,3,1,1,1,100.0,0,0,0,0,0,4,2,0
Nader Ghandri,DF,Tunisia,27-292,1995,1.0,2,2,2,0,0,1,1,100.0,0,4,4,0,1,3,4,0
Nahuel Molina,DF,Argentina,24-245,1998,3.2,3,1,2,1,0,1,2,50.0,1,4,1,3,1,4,4,0
Nampalys Mendy,MF,Senegal,30-167,1992,3.0,4,4,3,1,0,2,4,50.0,2,4,0,4,3,7,3,0
Nasser Al-Dawsari,FW,Saudi Arabia,23-353,1998,0.1,2,1,2,0,0,0,0,,0,0,0,0,0,2,0,0
Nathan Aké,DF,Netherlands,27-292,1995,4.0,4,2,2,2,0,2,2,100.0,0,3,2,1,3,7,20,0
Nathaniel Atkinson,DF,Australia,23-177,1999,0.9,4,3,3,1,0,4,6,66.7,2,1,1,0,1,5,2,1
Nawaf Al Abed,MF,Saudi Arabia,32-315,1990,1.0,0,0,0,0,0,0,0,,0,0,0,0,1,1,0,0
Nayef Aguerd,DF,Morocco,26-252,1996,3.9,4,2,4,0,0,2,2,100.0,0,3,2,1,4,8,12,0
Naïm Sliti,MF,Tunisia,30-133,1992,1.3,3,1,0,2,1,0,1,0.0,1,0,0,0,0,3,1,0
