player,position,team,age,birth_year,minutes_90s,tackles,tackles_won,tackles_def_3rd,tackles_mid_3rd,tackles_att_3rd,dribble_tackles,dribbles_vs,dribble_tackles_pct,dribbled_past,blocks,blocked_shots,blocked_passes,interceptions,tackles_interceptions,clearances,errors
Saman Ghoddos,MF,IR Iran,29-092,1993,0.5,1,0,1,0,0,0,1,0.0,1,0,0,0,0,1,0,0
Sami Al-Najei,MF,Saudi Arabia,25-303,1997,0.5,0,0,0,0,0,0,0,,0,1,0,1,0,0,0,0
Samuel Oum Gouet,MF,Cameroon,24-359,1997,1.1,1,1,0,1,0,0,0,,0,0,0,0,0,1,3,0
Sardar Azmoun,FW,IR Iran,27-340,1995,1.4,0,0,0,0,0,0,1,0.0,1,0,0,0,0,0,1,0
Saud Abdulhamid,DF,Saudi Arabia,23-142,1999,3.0,5,2,2,2,1,2,2,100.0,0,3,0,3,2,7,6,0
Saša Lukić,MF,Serbia,26-116,1996,2.7,2,0,0,2,0,0,2,0.0,2,2,0,2,1,3,5,1
Sebastian Szymański,MF,Poland,23-211,1999,1.5,6,3,3,2,1,0,1,0.0,1,4,1,3,2,8,1,0
Sebastián Coates,DF,Uruguay,32-061,1990,2.0,1,0,0,1,0,0,0,,0,3,1,2,1,2,6,0
Selim Amallah,MF,Morocco,26-022,1996,2.9,7,4,2,3,2,3,6,50.0,3,3,0,3,5,12,0,0
Serge Gnabry,FW,Germany,27-146,1995,2.9,5,2,1,2,2,4,5,80.0,1,2,0,2,2,7,3,0
Sergej Milinković-Savić,MF,Serbia,27-283,1995,2.6,5,1,2,3,0,3,4,75.0,1,5,2,3,2,7,5,0
Sergio Busquets,MF,Spain,34-144,1988,4.0,7,4,3,3,1,3,5,60.0,2,2,0,2,1,8,1,0
Sergio Rochet,GK,Uruguay,29-259,1993,3.0,0,0,0,0,0,0,0,,0,0,0,0,0,0,1,1
Sergiño Dest,DF,United States,22-034,2000,3.4,4,2,2,1,1,2,3,66.7,1,3,0,3,2,6,7,0
Shaquell Moore,DF,United States,26-035,1996,0.2,2,2,1,1,0,2,2,100.0,0,0,0,0,0,2,3,0
Shogo Taniguchi,DF,Japan,31-145,1991,2.3,1,0,0,1,0,0,0,,0,2,2,0,1,2,10,0
Shūichi Gonda,GK,Japan,33-279,1989,4.3,0,0,0,0,0,0,0,,0,0,0,0,0,0,1,1
Silvan Widmer,DF,Switzerland,29-277,1993,2.9,10,6,9,1,0,6,6,100.0,0,3,0,3,2,12,15,0
Simon Kjær,DF,Denmark,33-256,1989,0.7,0,0,0,0,0,0,0,,0,1,1,0,5,5,2,0
Sofiane Boufal,FW,Morocco,29-081,1993,3.0,8,4,5,3,0,3,6,50.0,3,4,0,4,2,10,0,0
Sofyan Amrabat,MF,Morocco,26-108,1996,4.3,10,8,9,1,0,3,5,60.0,2,2,1,1,6,16,6,0
Son Heung-min,FW,Korea Republic,30-152,1992,4.0,5,2,4,1,0,4,4,100.0,0,2,0,2,2,7,0,1
Son Jun-ho,MF,Korea Republic,30-209,1992,0.8,3,3,0,3,0,2,2,100.0,0,3,1,2,3,6,0,0
Sorba Thomas,MF,Wales,23-107,1999,0.0,1,1,1,0,0,0,0,,0,0,0,0,0,1,0,0
Srđan Babić,DF,Serbia,26-229,1996,0.1,1,0,1,0,0,1,3,33.3,2,0,0,0,0,1,1,0
Stefan Mitrović,DF,Serbia,32-199,1990,0.4,0,0,0,0,0,0,2,0.0,2,0,0,0,0,0,0,0
Stephen Eustáquio,MF,Canada,25-351,1996,1.4,4,2,2,2,0,1,3,33.3,2,0,0,0,2,6,6,0
Steve Mandanda,GK,France,37-254,1985,1.0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
Steven Berghuis,MF,Netherlands,30-353,1991,1.4,2,1,1,0,1,1,2,50.0,1,1,0,1,0,2,0,0
Steven Bergwijn,FW,Netherlands,25-060,1997,1.9,1,1,1,0,0,0,1,0.0,1,2,0,2,0,1,0,0
Steven Vitória,DF,Canada,35-330,1987,3.0,3,3,1,2,0,3,3,100.0,0,4,2,2,0,3,7,0
Strahinja Pavlović,DF,Serbia,21-197,2001,2.6,7,2,4,3,0,3,6,50.0,3,6,1,5,1,8,7,0
Sultan Al-Ghanam,DF,Saudi Arabia,28-215,1994,1.4,0,0,0,0,0,0,1,0.0,1,3,1,2,2,2,3,0
Taha Yassine Khenissi,FW,Tunisia,30-335,1992,0.3,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
Tajon Buchanan,MF,Canada,23-302,1999,2.9,1,1,1,0,0,1,5,20.0,4,3,0,3,3,4,0,0
Takefusa Kubo,FW,Japan,21-186,2001,1.0,1,1,0,1,0,0,0,,0,3,0,3,0,1,0,0
Takehiro Tomiyasu,DF,Japan,24-032,1998,2.1,0,0,0,0,0,0,0,,0,2,2,0,0,0,7,1
Takuma Asano,FW,Japan,28-027,1994,1.8,0,0,0,0,0,0,0,,0,0,0,0,1,1,1,0
Takumi Minamino,FW,Japan,27-325,1995,0.7,2,1,1,1,0,2,2,100.0,0,0,0,0,0,2,1,0
Tarek Salman,DF,Qatar,25-002,1997,0.1,1,0,1,0,0,0,0,,0,0,0,0,1,2,0,0
Tariq Lamptey,DF,Ghana,22-068,2000,1.1,3,1,3,0,0,3,4,75.0,1,1,1,0,1,4,4,0
Teun Koopmeiners,MF,Netherlands,24-282,1998,1.6,7,4,0,7,0,3,6,50.0,3,2,1,1,4,11,3,0
Theo Hernández,DF,France,25-062,1997,2.9,6,5,4,2,0,3,8,37.5,5,3,1,2,2,8,4,1
Thiago Almada,MF,Argentina,21-225,2001,0.1,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
Thiago Silva,DF,Brazil,38-076,1984,3.0,2,0,0,1,1,0,0,,0,2,1,1,3,5,5,0
Thibaut Courtois,GK,Belgium,30-210,1992,3.0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,1
Thilo Kehrer,DF,Germany,26-077,1996,0.8,6,2,4,1,1,3,3,100.0,0,1,0,1,3,9,2,0
